name,symmary,link,program_type,program_overview,program_duration,program_requirements,program_fees
Advanced Chemical Engineering with Information Technology and Management MSc,Our IChemE accredited MSc Advanced Chemical Engineering with Information Technology and Management degree focuses on technological advancements in the global chemical industry.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/advanced-chemical-engineering-information-tech/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Advanced Chemical Engineering MSc,Enhance your knowledge in chemical and process engineering with a MSc Advanced Chemical Engineering degree at Loughborough. Find out more now.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/advanced-chemical-engineering/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Advanced Computer Science MSc,Our MSc Advanced Computer Science is a commercially relevant master's in computer science designed to give you cutting-edge practical skills to enhance your career. Find out more and apply now.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/advanced-computer-science/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Advanced Manufacturing Engineering and Management MSc,"Our Manufacturing Engineering and Management MSc is directly informed by our world-leading research, which is driven by close collaborations with industry. Find out more now.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/advanced-manufacturing-engineering-management/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Advanced Materials Science and Engineering MSc,"This programme is designed to meet the requirements of industry, where qualified materials scientists and engineers are highly sought after, and will equip you with the advanced, comprehensive knowledge of materials science and engineering needed for a successful career in the field. Find out more now.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/advanced-materials-science-engineering/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Advanced Physics MSc,"Our MSc Physics covers superconductivity, nanoscience, quantum computing and solid-state physics to give you the key skills for a wide range of careers.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/advanced-physics/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
"Analytical Chemistry MSc, PGDip, PGCert","Our MSc Analytical Chemistry will give you training in the fields of biomedical, pharmaceutical, food and environmental analysis.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/analytical-chemistry/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
"Analytical and Pharmaceutical Science MSc, PGDip, PGCert",Our industry relevant master’s in Analytical and Pharmaceutical Science will give you the multidisciplinary skills to contribute to drug development and analysis.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/analytical-pharmaceutical-science/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Applied Sport Performance Analysis MSc,Our MSc Applied Sport Performance Analysis degree offers you an excellent platform to develop advanced knowledge and the skills to analyse and develop performance in elite sport.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/applied-sport-performance-analysis/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Architecture MArch,Our MArch Architecture brings together the very latest thinking and technologies in architecture and urban planning to encourage students to be ambitious and innovative towards our global future. Find out more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/architecture/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£9,250 full-time degree per annum
International fee
£27,250 full-time degree per annum"
Artificial Intelligence and Data Analytics MSc,Gain a comprehensive understanding of data analytics and Artificial Intelligence with our Artificial Intelligence and Data Analytics MSc. Based in London.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/artificial-intelligence-data-analytics/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£12,100 full-time degree per annum
International fee
£27,950 full-time degree per annum"
Artificial Intelligence MSc,Our new master’s in Artificial Intelligence has been developed with industry to give you the cutting-edge practical skills sought by employers. Find out more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/artificial-intelligence/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Automotive Engineering MSc,Our well-established and renowned Automotive Engineering MSc was created with industry partners to provide you with knowledge and technical expertise in a wide range of automotive disciplines.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/automotive-engineering/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Biomedical Engineering MSc,"Biomedical Engineering bridges the gap between health, medicine and engineering by equipping you with the knowledge and skills needed to enhance and improve healthcare. Find out more now.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/biomedical-engineering/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Biotechnology MSc,Our interdisciplinary MSc Biotechnology focuses on applying skills in engineering and technology to global biological problems. Find out more now.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/biotechnology/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Business Analytics MSc,"Our MSc Business Analytics will give you the modelling and consulting skills needed to understand, manage and communicate useful insights from big data.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/business-analytics/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£15,800 full-time degree per annum
International fee
£27,400 full-time degree per annum"
Business Psychology MSc,"Apply the science of psychology to business with our Association for Business Psychology accredited MSc in Business Psychology. The MSc prepares you for a range of careers in consulting, management, and development.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/business-psychology/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Civil Engineering MSc,"Civil engineers tackle some of the greatest challenges in contemporary society. Enter a stimulating, diverse and interactive learning environment and find out more.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/civil-engineering/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Climate Change Politics and Policy MA,"Taught by passionate experts, this MA will give you the critical skills needed for undertaking successful climate-related, politically-focused scholarship and communication. Find out more and apply now.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/climate-change-politics-and-policy/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£11,100 full-time degree per annum
International fee
£22,500 full-time degree per annum"
Climate Change Science and Management MSc,"Taught by passionate experts, this MSc will give you the practical skills needed for undertaking successful and sustainable climate-related management and research. Find out more and apply now.",https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/climate-change-science-and-management/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£11,100 full-time degree per annum
International fee
£22,500 full-time degree per annum"
Clinical Exercise Physiology MSc,The MSc in Clinical Exercise Physiology gives you the skills you need to promote the prescription of exercise as a preventative measure and as a treatment or therapy.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/clinical-exercise-physiology/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£16,900 full-time degree per annum
International fee
£29,950 full-time degree per annum"
Construction Management MSc,Enhance your career with an accredited MSc Construction Management at Loughborough. 2nd in the UK for Building Engineering (The Times and Sunday Times Good University Guide 2022). Find out more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/construction-management/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Construction Project Management with Building Information Modelling MSc,Enhance your career with an accredited MSc Construction Project Management with Building Information Modelling at Loughborough. 2nd in the UK for Building Engineering (The Times and Sunday Times Good University Guide 2022). Find out more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/construction-project-management-building-info/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
Construction Project Management MSc,Enhance your career with an accredited MSc Construction Project Management at Loughborough. 2nd in the UK for Building Engineering (The Times and Sunday Times Good University Guide 2022). Find out more.,https://www.lboro.ac.uk/study/postgraduate/masters-degrees/a-z/construction-project-management/,postgraduate study,,,"Our entry requirements are listed using standard UK undergraduate degree classifications i.e. first-class honours, upper second-class honours and lower second-class honours. To learn the equivalent for your country, please choose it from the drop-down below.","October 2023 start
UK fee
£13,000 full-time degree per annum
International fee
£28,100 full-time degree per annum"
